name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,date
Egypt,EGY,EGP,13,5.699,,2010-07-01
Euro area,EUZ,EUR,3.380031071,0.78015291,,2010-07-01
Hong Kong,HKG,HKD,14.8,7.7742,,2010-07-01
Hungary,HUN,HUF,740,221.96915,,2010-07-01
Indonesia,IDN,IDR,22780,9063,,2010-07-01
Israel,ISR,ILS,14.9,3.8619,,2010-07-01
Japan,JPN,JPY,320,87.18,,2010-07-01
Malaysia,MYS,MYR,7.05,3.2135,,2010-07-01
Mexico,MEX,MXN,32,12.782,,2010-07-01
New Zealand,NZL,NZD,5,1.39275766,,2010-07-01
Norway,NOR,NOK,45,6.24625,,2010-07-01
Pakistan,PAK,PKR,210,85.525,,2010-07-01
Peru,PER,PEN,10,2.8275,,2010-07-01
Philippines,PHL,PHP,102,46.47,,2010-07-01
Poland,POL,PLN,8.3,3.1969,,2010-07-01
Russia,RUS,RUB,71,30.44325,,2010-07-01
Saudi Arabia,SAU,SAR,10,3.75045,,2010-07-01
Singapore,SGP,SGD,4.23,1.3742,,2010-07-01
South Africa,ZAF,ZAR,18.45,7.5365,,2010-07-01
South Korea,KOR,KRW,3400,1204.45,,2010-07-01
Sri Lanka,LKA,LKR,210,112.775,,2010-07-01
Sweden,SWE,SEK,48.4,7.37355,,2010-07-01
Switzerland,CHE,CHF,6.5,1.05085,,2010-07-01
Taiwan,TWN,TWD,75,32.1055,,2010-07-01
Thailand,THA,THB,70,32.305,,2010-07-01
Turkey,TUR,TRY,5.95,1.5293,,2010-07-01
UAE,ARE,AED,11,3.67285,,2010-07-01
Ukraine,UKR,UAH,14.5,7.899,,2010-07-01
United States,USA,USD,3.733333333,1,,2010-07-01
Uruguay,URY,UYU,79,21.1,,2010-07-01
Argentina,ARG,ARS,20,4.1325,9138.177,2011-07-01
Australia,AUS,AUD,4.56,0.922381589,55589.549,2011-07-01
Austria,AUT,EUR,3.09,0.697520315,44986.583,2011-07-01
Belgium,BEL,EUR,3.75,0.697520315,42630.113,2011-07-01
Brazil,BRA,BRL,9.5,1.5416,10816.487,2011-07-01
Britain,GBR,GBP,2.39,0.614137444,36119.846,2011-07-01
Canada,CAN,CAD,4.73,0.94585,46214.914,2011-07-01
Chile,CHL,CLP,1850,462.75,11827.958,2011-07-01
China,CHN,CNY,14.65,6.445,4382.136,2011-07-01
Colombia,COL,COP,8400,1770.5,6273.372,2011-07-01
Costa Rica,CRI,CRC,2050,504.305,,2011-07-01
Czech Republic,CZE,CZK,69.32,17.0219,18288.284,2011-07-01
Denmark,DNK,DKK,28.5,5.19845,56147.143,2011-07-01
Egypt,EGY,EGP,14.09,5.962,2788.829,2011-07-01
Estonia,EST,EUR,2.2,0.697520315,14835.96,2011-07-01
Euro area,EUZ,EUR,3.437660401,0.697520315,36947,2011-07-01
Finland,FIN,EUR,3.75,0.697520315,44488.643,2011-07-01
France,FRA,EUR,3.5,0.697520315,41018.597,2011-07-01
Germany,DEU,EUR,3.4,0.697520315,40631.243,2011-07-01
Greece,GRC,EUR,3.26,0.697520315,27301.544,2011-07-01
Hong Kong,HKG,HKD,15.1,7.7918,31590.681,2011-07-01
Hungary,HUN,HUF,760,188.0724,12879.296,2011-07-01
India,IND,INR,84,44.4,1264.839,2011-07-01
Indonesia,IDN,IDR,22534,8523,3015.374,2011-07-01
Ireland,IRL,EUR,3.8,0.697520315,45688.759,2011-07-01
Israel,ISR,ILS,15.9,3.40335,28685.616,2011-07-01
Italy,ITA,EUR,3.5,0.697520315,34058.72,2011-07-01
Japan,JPN,JPY,320,78.365,42820.392,2011-07-01
Malaysia,MYS,MYR,7.2,2.973,8423.176,2011-07-01
Mexico,MEX,MXN,32,11.67075,9565.962,2011-07-01
Netherlands,NLD,EUR,3.25,0.697520315,47172.14,2011-07-01
New Zealand,NZL,NZD,5.1,1.156069364,32145.233,2011-07-01
Norway,NOR,NOK,45,5.41405,84443.634,2011-07-01
Pakistan,PAK,PKR,205.13,86.345,1049.749,2011-07-01
Peru,PER,PEN,10,2.7375,5171.651,2011-07-01
Philippines,PHL,PHP,118,42.41,2007.362,2011-07-01
Poland,POL,PLN,8.63,2.7968,12300.126,2011-07-01
Portugal,PRT,EUR,2.9,0.697520315,21558.78,2011-07-01
Russia,RUS,RUB,75,27.7525,10437.49,2011-07-01
Saudi Arabia,SAU,SAR,10,3.7502,16995.78,2011-07-01
Singapore,SGP,SGD,4.41,1.20705,43116.689,2011-07-01
South Africa,ZAF,ZAR,19.45,6.76885,7157.801,2011-07-01
South Korea,KOR,KRW,3700,1056.2,20590.962,2011-07-01
Spain,ESP,EUR,3.5,0.697520315,30639.295,2011-07-01
Sri Lanka,LKA,LKR,280,109.475,,2011-07-01
Sweden,SWE,SEK,48.4,6.3352,48874.608,2011-07-01
Switzerland,CHE,CHF,6.5,0.80615,67245.997,2011-07-01
Taiwan,TWN,TWD,75,28.834,18457.752,2011-07-01
Thailand,THA,THB,70,29.75,4991.525,2011-07-01
Turkey,TUR,TRY,6.5,1.72285,10398.685,2011-07-01
UAE,ARE,AED,12,3.67305,,2011-07-01
Ukraine,UKR,UAH,16.5,7.994,,2011-07-01
United States,USA,USD,4.065,1,47283.633,2011-07-01
Uruguay,URY,UYU,90,18.45,,2011-07-01
Venezuela,VEN,VEF,28,4.29465,,2011-07-01
Argentina,ARG,ARS,20,4.3135,9138.177,2012-01-01
Australia,AUS,AUD,4.8,0.972337012,55589.549,2012-01-01
Austria,AUT,EUR,3.09,0.788239467,44986.583,2012-01-01
Belgium,BEL,EUR,3.7,0.788239467,42630.113,2012-01-01
Brazil,BRA,BRL,10.25,1.805,10816.487,2012-01-01
Britain,GBR,GBP,2.49,0.651253663,36119.846,2012-01-01
Canada,CAN,CAD,4.73,1.02095,46214.914,2012-01-01
Chile,CHL,CLP,2050,506.05,11827.958,2012-01-01
China,CHN,CNY,15.4,6.3155,4382.136,2012-01-01
Colombia,COL,COP,8400,1852.15,6273.372,2012-01-01
Costa Rica,CRI,CRC,2050,509.54,,2012-01-01
Czech Republic,CZE,CZK,70.22,20.36535,18288.284,2012-01-01
Denmark,DNK,DKK,31.5,5.86135,56147.143,2012-01-01
Egypt,EGY,EGP,15.5,6.037,2788.829,2012-01-01
Estonia,EST,EUR,2.04,0.788239467,14835.96,2012-01-01
Euro area,EUZ,EUR,3.49245637,0.788239467,36947,2012-01-01
Finland,FIN,EUR,3.75,0.788239467,44488.643,2012-01-01
France,FRA,EUR,3.6,0.788239467,41018.597,2012-01-01
Germany,DEU,EUR,3.53,0.788239467,40631.243,2012-01-01
Greece,GRC,EUR,3.3,0.788239467,27301.544,2012-01-01
Hong Kong,HKG,HKD,16.5,7.76735,31590.681,2012-01-01
Hungary,HUN,HUF,645,245.69425,12879.296,2012-01-01
India,IND,INR,84,51.905,1264.839,2012-01-01
Indonesia,IDN,IDR,22534,9160,3015.374,2012-01-01
Ireland,IRL,EUR,3.8,0.788239467,45688.759,2012-01-01
Israel,ISR,ILS,15.9,3.8485,28685.616,2012-01-01
Italy,ITA,EUR,3.5,0.788239467,34058.72,2012-01-01
Japan,JPN,JPY,320,76.92,42820.392,2012-01-01
Malaysia,MYS,MYR,7.35,3.13955,8423.176,2012-01-01
Mexico,MEX,MXN,37,13.6844,9565.962,2012-01-01
Netherlands,NLD,EUR,3.25,0.788239467,47172.14,2012-01-01
New Zealand,NZL,NZD,5.1,1.26000126,32145.233,2012-01-01
Norway,NOR,NOK,41,6.0399,84443.634,2012-01-01
Pakistan,PAK,PKR,260,90.05,1049.749,2012-01-01
Peru,PER,PEN,10,2.6925,5171.651,2012-01-01
Philippines,PHL,PHP,118,44.005,2007.362,2012-01-01
Poland,POL,PLN,9.1,3.52045,12300.126,2012-01-01
Portugal,PRT,EUR,2.9,0.788239467,21558.78,2012-01-01
Russia,RUS,RUB,81,31.7693,10437.49,2012-01-01
Saudi Arabia,SAU,SAR,10,3.7502,16995.78,2012-01-01
Singapore,SGP,SGD,4.85,1.2928,43116.689,2012-01-01
South Africa,ZAF,ZAR,19.95,8.1304,7157.801,2012-01-01
South Korea,KOR,KRW,3700,1158.75,20590.962,2012-01-01
Spain,ESP,EUR,3.5,0.788239467,30639.295,2012-01-01
Sri Lanka,LKA,LKR,290,113.93,,2012-01-01
Sweden,SWE,SEK,41,6.9338,48874.608,2012-01-01
Switzerland,CHE,CHF,6.5,0.9551,67245.997,2012-01-01
Taiwan,TWN,TWD,75,29.9795,18457.752,2012-01-01
Thailand,THA,THB,78,31.75,4991.525,2012-01-01
Turkey,TUR,TRY,6.6,1.86295,10398.685,2012-01-01
UAE,ARE,AED,12,3.673,,2012-01-01
Ukraine,UKR,UAH,17,8.0405,,2012-01-01
United States,USA,USD,4.19722,1,47283.633,2012-01-01
Uruguay,URY,UYU,90,19.45,,2012-01-01
Venezuela,VEN,VEF,30,4.29465,,2012-01-01
Argentina,ARG,ARS,19,4.56625,9138.177,2012-07-01
Australia,AUS,AUD,4.56,0.974326497,55589.549,2012-07-01
Austria,AUT,EUR,3.19,0.824844311,44986.583,2012-07-01
Belgium,BEL,EUR,3.8,0.824844311,42630.113,2012-07-01
Brazil,BRA,BRL,10.08,2.04215,10816.487,2012-07-01
Britain,GBR,GBP,2.69,0.646266197,36119.846,2012-07-01
Canada,CAN,CAD,5.12,1.01945,46214.914,2012-07-01
Chile,CHL,CLP,2050,493.05,11827.958,2012-07-01
China,CHN,CNY,15.65,6.3885,4382.136,2012-07-01
Colombia,COL,COP,8600,1804.475,6273.372,2012-07-01
Czech Republic,CZE,CZK,70.33,21.048,18288.284,2012-07-01
Denmark,DNK,DKK,28.5,6.1356,56147.143,2012-07-01
Egypt,EGY,EGP,16,6.0665,2788.829,2012-07-01
Estonia,EST,EUR,2.04,0.824844311,14835.96,2012-07-01
Euro area,EUZ,EUR,3.583482241,0.824844311,36947,2012-07-01
Finland,FIN,EUR,3.75,0.824844311,44488.643,2012-07-01
France,FRA,EUR,3.6,0.824844311,41018.597,2012-07-01
Germany,DEU,EUR,3.64,0.824844311,40631.243,2012-07-01
Greece,GRC,EUR,2.683,0.824844311,27301.544,2012-07-01
Hong Kong,HKG,HKD,16.5,7.75815,31590.681,2012-07-01
Hungary,HUN,HUF,830,238.2151,12879.296,2012-07-01
India,IND,INR,89,56.165,1264.839,2012-07-01
Indonesia,IDN,IDR,24200,9482.5,3015.374,2012-07-01
Ireland,IRL,EUR,3.49,0.824844311,45688.759,2012-07-01
Israel,ISR,ILS,11.9,4.07625,28685.616,2012-07-01
Italy,ITA,EUR,3.6,0.824844311,34058.72,2012-07-01
Japan,JPN,JPY,320,78.22,42820.392,2012-07-01
Malaysia,MYS,MYR,7.4,3.1735,8423.176,2012-07-01
Mexico,MEX,MXN,37,13.687,9565.962,2012-07-01
Netherlands,NLD,EUR,3.38,0.824844311,47172.14,2012-07-01
New Zealand,NZL,NZD,5.1,1.273560876,32145.233,2012-07-01
Norway,NOR,NOK,43,6.09205,84443.634,2012-07-01
Pakistan,PAK,PKR,285,94.605,1049.749,2012-07-01
Philippines,PHL,PHP,118,42.2,2007.362,2012-07-01
Poland,POL,PLN,9.1,3.46035,12300.126,2012-07-01
Portugal,PRT,EUR,4.95,0.824844311,21558.78,2012-07-01
Russia,RUS,RUB,75,32.76525,10437.49,2012-07-01
Saudi Arabia,SAU,SAR,10,3.75025,16995.78,2012-07-01
Singapore,SGP,SGD,4.4,1.2585,43116.689,2012-07-01
South Africa,ZAF,ZAR,19.95,8.4683,7157.801,2012-07-01
South Korea,KOR,KRW,3700,1151,20590.962,2012-07-01
Spain,ESP,EUR,3.5,0.824844311,30639.295,2012-07-01
Sri Lanka,LKA,LKR,290,131,,2012-07-01
Sweden,SWE,SEK,39.97301987,6.9777,48874.608,2012-07-01
Switzerland,CHE,CHF,6.5,0.9906,67245.997,2012-07-01
Taiwan,TWN,TWD,75,30.1955,18457.752,2012-07-01
Thailand,THA,THB,82,31.7,4991.525,2012-07-01
Turkey,TUR,TRY,8.25,1.8269,10398.685,2012-07-01
UAE,ARE,AED,12,3.67295,,2012-07-01
Ukraine,UKR,UAH,15,8.0855,,2012-07-01
United States,USA,USD,4.3275,1,47283.633,2012-07-01
Uruguay,URY,UYU,99,21.87,,2012-07-01
Venezuela,VEN,VEF,34,4.29465,,2012-07-01
Argentina,ARG,ARS,19,4.9765,10959.082,2013-01-01
Australia,AUS,AUD,4.7,0.959094615,66371.218,2013-01-01
Austria,AUT,EUR,3.39,0.736946829,49687.509,2013-01-01
Belgium,BEL,EUR,3.8,0.736946829,46989.381,2013-01-01
Brazil,BRA,BRL,11.25,1.99335,12788.551,2013-01-01
Britain,GBR,GBP,2.69,0.633211968,38811.424,2013-01-01
Canada,CAN,CAD,5.41,1.0029,50496.043,2013-01-01
Chile,CHL,CLP,2050,471.75,14403.111,2013-01-01
China,CHN,CNY,16,6.2204,5416.668,2013-01-01
Colombia,COL,COP,8600,1773.175,7114.33,2013-01-01
Costa Rica,CRI,CRC,2200,500.83,,2013-01-01
Czech Republic,CZE,CZK,70.33,18.89495,20435.875,2013-01-01
Denmark,DNK,DKK,28.5,5.49795,59708.962,2013-01-01
Egypt,EGY,EGP,16,6.68575,2931.827,2013-01-01
Estonia,EST,EUR,2.7,0.736946829,16568.203,2013-01-01
Euro area,EUZ,EUR,3.594849572,0.736946829,40137.01059,2013-01-01
Finland,FIN,EUR,3.75,0.736946829,48782.645,2013-01-01
France,FRA,EUR,3.6,0.736946829,44007.331,2013-01-01
Germany,DEU,EUR,3.64,0.736946829,44110.989,2013-01-01
Greece,GRC,EUR,3.3,0.736946829,26734.876,2013-01-01
Hong Kong,HKG,HKD,17,7.7591,34259.337,2013-01-01
Hungary,HUN,HUF,830,217.46935,14050.009,2013-01-01
India,IND,INR,89,53.395,1513.618,2013-01-01
Indonesia,IDN,IDR,27939,9767.5,3511.799,2013-01-01
Ireland,IRL,EUR,3.49,0.736946829,48288.731,2013-01-01
Israel,ISR,ILS,14.9,3.72455,32350.817,2013-01-01
Italy,ITA,EUR,3.85,0.736946829,36266.876,2013-01-01
Japan,JPN,JPY,320,91.065,45869.72,2013-01-01
Malaysia,MYS,MYR,7.95,3.083,10084.608,2013-01-01
Mexico,MEX,MXN,37,12.7384,10146.041,2013-01-01
Netherlands,NLD,EUR,3.45,0.736946829,50216.422,2013-01-01
New Zealand,NZL,NZD,5.2,1.202428906,35973.02,2013-01-01
Norway,NOR,NOK,43,5.4831,97607.32,2013-01-01
Pakistan,PAK,PKR,290,97.665,1199.111,2013-01-01
Peru,PER,PEN,10,2.5595,5904.494,2013-01-01
Philippines,PHL,PHP,118,40.6,2344.889,2013-01-01
Poland,POL,PLN,9.1,3.092,13468.655,2013-01-01
Portugal,PRT,EUR,2.95,0.736946829,22358.894,2013-01-01
Russia,RUS,RUB,72.88,30.045,12993.358,2013-01-01
Saudi Arabia,SAU,SAR,11,3.7502,21196.287,2013-01-01
Singapore,SGP,SGD,4.5,1.23485,49270.872,2013-01-01
South Africa,ZAF,ZAR,20.9,9.047,8078.451,2013-01-01
South Korea,KOR,KRW,3700,1085.475,22424.062,2013-01-01
Spain,ESP,EUR,3.5,0.736946829,32077.084,2013-01-01
Sri Lanka,LKA,LKR,350,126.45,,2013-01-01
Sweden,SWE,SEK,40.55930138,6.3492,57638.234,2013-01-01
Switzerland,CHE,CHF,6.5,0.9123,83072.845,2013-01-01
Taiwan,TWN,TWD,75,29.502,20082.918,2013-01-01
Thailand,THA,THB,87,29.755,5394.714,2013-01-01
Turkey,TUR,TRY,8.45,1.76875,10362.609,2013-01-01
UAE,ARE,AED,12,3.67305,,2013-01-01
Ukraine,UKR,UAH,19,8.144,,2013-01-01
United States,USA,USD,4.367395833,1,48327.861,2013-01-01
Uruguay,URY,UYU,105,19.28,,2013-01-01
Venezuela,VEN,VEF,39,4.29465,,2013-01-01
Argentina,ARG,ARS,21,5.4125,10959.082,2013-07-01
Australia,AUS,AUD,5.035,1.089858863,66371.218,2013-07-01
Austria,AUT,EUR,3.39,0.777756173,49687.509,2013-07-01
Belgium,BEL,EUR,3.7,0.777756173,46989.381,2013-07-01
Brazil,BRA,BRL,12,2.27065,12788.551,2013-07-01
Britain,GBR,GBP,2.69,0.669142494,38811.424,2013-07-01
Canada,CAN,CAD,5.53,1.05125,50496.043,2013-07-01
Chile,CHL,CLP,2000,508.155,14403.111,2013-07-01
China,CHN,CNY,16,6.1341,5416.668,2013-07-01
Colombia,COL,COP,8600,1921,7114.33,2013-07-01
Costa Rica,CRI,CRC,2150,498.675,,2013-07-01
Czech Republic,CZE,CZK,70.45,20.1828,20435.875,2013-07-01
Denmark,DNK,DKK,28.5,5.8006,59708.962,2013-07-01
Egypt,EGY,EGP,16.75,7.00915,2931.827,2013-07-01
Estonia,EST,EUR,2.75,0.777756173,16568.203,2013-07-01
Euro area,EUZ,EUR,3.623870489,0.777756173,40137.01059,2013-07-01
Finland,FIN,EUR,4.1,0.777756173,48782.645,2013-07-01
France,FRA,EUR,3.9,0.777756173,44007.331,2013-07-01
Germany,DEU,EUR,3.64,0.777756173,44110.989,2013-07-01
Greece,GRC,EUR,2.6,0.777756173,26734.876,2013-07-01
Hong Kong,HKG,HKD,17,7.75665,34259.337,2013-07-01
Hungary,HUN,HUF,860,228.462,14050.009,2013-07-01
India,IND,INR,90,59.98,1513.618,2013-07-01
Indonesia,IDN,IDR,27939,9965,3511.799,2013-07-01
Ireland,IRL,EUR,3.46,0.777756173,48288.731,2013-07-01
Israel,ISR,ILS,17.5,3.64595,32350.817,2013-07-01
Italy,ITA,EUR,3.75,0.777756173,36266.876,2013-07-01
Japan,JPN,JPY,320,100.105,45869.72,2013-07-01
Malaysia,MYS,MYR,7.3,3.1805,10084.608,2013-07-01
Mexico,MEX,MXN,37,12.94115,10146.041,2013-07-01
Netherlands,NLD,EUR,3.45,0.777756173,50216.422,2013-07-01
New Zealand,NZL,NZD,5.5,1.279344975,35973.02,2013-07-01
Norway,NOR,NOK,46,6.1281,97607.32,2013-07-01
Pakistan,PAK,PKR,300,100.035,1199.111,2013-07-01
Peru,PER,PEN,10,2.783,5904.494,2013-07-01
Philippines,PHL,PHP,115.21,43.44,2344.889,2013-07-01
Poland,POL,PLN,9.2,3.3655,13468.655,2013-07-01
Portugal,PRT,EUR,2.95,0.777756173,22358.894,2013-07-01
Russia,RUS,RUB,87,32.9389,12993.358,2013-07-01
Saudi Arabia,SAU,SAR,10,3.7502,21196.287,2013-07-01
Singapore,SGP,SGD,4.7,1.2747,49270.872,2013-07-01
South Africa,ZAF,ZAR,22.5,10.04725,8078.451,2013-07-01
South Korea,KOR,KRW,3900,1135.7,22424.062,2013-07-01
Spain,ESP,EUR,3.5,0.777756173,32077.084,2013-07-01
Sri Lanka,LKA,LKR,370,130.8,,2013-07-01
Sweden,SWE,SEK,41.61,6.7583,57638.234,2013-07-01
Switzerland,CHE,CHF,6.5,0.9674,83072.845,2013-07-01
Taiwan,TWN,TWD,79,30.0285,20082.918,2013-07-01
Thailand,THA,THB,89,31.275,5394.714,2013-07-01
Turkey,TUR,TRY,8.5,1.95745,10362.609,2013-07-01
UAE,ARE,AED,12,3.673,,2013-07-01
Ukraine,UKR,UAH,19,8.155,,2013-07-01
United States,USA,USD,4.556666667,1,48327.861,2013-07-01
Uruguay,URY,UYU,105,21.085,,2013-07-01
Venezuela,VEN,VEF,45,6.2921,,2013-07-01
Argentina,ARG,ARS,21,6.92125,10959.082,2014-01-01
Australia,AUS,AUD,5.05,1.128859288,66371.218,2014-01-01
Austria,AUT,EUR,3.39,0.737218475,49687.509,2014-01-01
Belgium,BEL,EUR,3.95,0.737218475,46989.381,2014-01-01
Brazil,BRA,BRL,12.4,2.36305,12788.551,2014-01-01
Britain,GBR,GBP,2.79,0.603009015,38811.424,2014-01-01
Canada,CAN,CAD,5.54,1.1051,50496.043,2014-01-01
Chile,CHL,CLP,2000,541.95,14403.111,2014-01-01
China,CHN,CNY,16.6,6.0513,5416.668,2014-01-01
Colombia,COL,COP,8600,1982.795,7114.33,2014-01-01
Costa Rica,CRI,CRC,2150,501.92,,2014-01-01
Czech Republic,CZE,CZK,70.45,20.2838,20435.875,2014-01-01
Denmark,DNK,DKK,28.5,5.5014,59708.962,2014-01-01
Egypt,EGY,EGP,16.93,6.961,2931.827,2014-01-01
Estonia,EST,EUR,2.8,0.737218475,16568.203,2014-01-01
Euro area,EUZ,EUR,3.657962724,0.737218475,40137.01059,2014-01-01
Finland,FIN,EUR,4.1,0.737218475,48782.645,2014-01-01
France,FRA,EUR,3.8,0.737218475,44007.331,2014-01-01
Germany,DEU,EUR,3.67,0.737218475,44110.989,2014-01-01
Greece,GRC,EUR,3.05,0.737218475,26734.876,2014-01-01
Hong Kong,HKG,HKD,18,7.75785,34259.337,2014-01-01
Hungary,HUN,HUF,860,223.09705,14050.009,2014-01-01
India,IND,INR,95,61.845,1513.618,2014-01-01
Indonesia,IDN,IDR,27939,12140,3511.799,2014-01-01
Ireland,IRL,EUR,3.46,0.737218475,48288.731,2014-01-01
Israel,ISR,ILS,17.5,3.4882,32350.817,2014-01-01
Italy,ITA,EUR,3.85,0.737218475,36266.876,2014-01-01
Japan,JPN,JPY,310,104.245,45869.72,2014-01-01
Lithuania,LTU,EUR,8.8,2.5454,,2014-01-01
Malaysia,MYS,MYR,7.4,3.3235,10084.608,2014-01-01
Mexico,MEX,MXN,37,13.33275,10146.041,2014-01-01
Netherlands,NLD,EUR,3.45,0.737218475,50216.422,2014-01-01
New Zealand,NZL,NZD,5.5,1.203007519,35973.02,2014-01-01
Norway,NOR,NOK,48,6.15745,97607.32,2014-01-01
Pakistan,PAK,PKR,320,105.415,1199.111,2014-01-01
Peru,PER,PEN,10,2.8065,5904.494,2014-01-01
Philippines,PHL,PHP,135,45.23,2344.889,2014-01-01
Poland,POL,PLN,9.2,3.0684,13468.655,2014-01-01
Portugal,PRT,EUR,3,0.737218475,22358.894,2014-01-01
Russia,RUS,RUB,89,33.93925,12993.358,2014-01-01
Saudi Arabia,SAU,SAR,11,3.7504,21196.287,2014-01-01
Singapore,SGP,SGD,4.6,1.27885,49270.872,2014-01-01
South Africa,ZAF,ZAR,23.5,10.87765,8078.451,2014-01-01
South Korea,KOR,KRW,3700,1067.3,22424.062,2014-01-01
Spain,ESP,EUR,3.65,0.737218475,32077.084,2014-01-01
Sri Lanka,LKA,LKR,350,130.8,,2014-01-01
Sweden,SWE,SEK,40.7,6.47315,57638.234,2014-01-01
Switzerland,CHE,CHF,6.5,0.91005,83072.845,2014-01-01
Taiwan,TWN,TWD,79,30.161,20082.918,2014-01-01
Thailand,THA,THB,96,32.875,5394.714,2014-01-01
Turkey,TUR,TRY,8.5,2.26155,10362.609,2014-01-01
UAE,ARE,AED,12,3.673,,2014-01-01
Ukraine,UKR,UAH,19,8.379,,2014-01-01
United States,USA,USD,4.624166667,1,48327.861,2014-01-01
Uruguay,URY,UYU,105,21.38,,2014-01-01
Venezuela,VEN,VEF,45,6.2921,,2014-01-01
Argentina,ARG,ARS,21,8.16875,11582.48,2014-07-01
Australia,AUS,AUD,5.1,1.059378145,67855.88,2014-07-01
Austria,AUT,EUR,3.39,0.742748914,46620.235,2014-07-01
Belgium,BEL,EUR,3.7,0.742748914,43553.781,2014-07-01
Brazil,BRA,BRL,13,2.22025,11437.393,2014-07-01
Britain,GBR,GBP,2.89,0.586785589,38999.208,2014-07-01
Canada,CAN,CAD,5.64,1.07405,52488.725,2014-07-01
Chile,CHL,CLP,2100,564.14,15300.352,2014-07-01
China,CHN,CNY,16.9,6.1983,6077.65,2014-07-01
Colombia,COL,COP,8600,1847.65,7935.716,2014-07-01
Costa Rica,CRI,CRC,2150,537.3,,2014-07-01
Czech Republic,CZE,CZK,70.45,20.3877,18699.467,2014-07-01
Denmark,DNK,DKK,28.5,5.5388,56475.85,2014-07-01
Egypt,EGY,EGP,16.93,7.15005,3178.951,2014-07-01
Estonia,EST,EUR,2.9,0.742748914,17295.228,2014-07-01
Euro area,EUZ,EUR,3.67923829,0.742748914,36888.30379,2014-07-01
Finland,FIN,EUR,4.1,0.742748914,45567.519,2014-07-01
France,FRA,EUR,3.9,0.742748914,41223.213,2014-07-01
Germany,DEU,EUR,3.67,0.742748914,42569.471,2014-07-01
Greece,GRC,EUR,3.05,0.742748914,22346.584,2014-07-01
Hong Kong,HKG,HKD,18.8,7.75045,36590.443,2014-07-01
Hungary,HUN,HUF,860,228.30615,12543.959,2014-07-01
India,IND,INR,105,60.08875,1514.634,2014-07-01
Indonesia,IDN,IDR,27939,11505,3590.662,2014-07-01
Ireland,IRL,EUR,3.49,0.742748914,45961.959,2014-07-01
Israel,ISR,ILS,17.5,3.4138,33450.928,2014-07-01
Italy,ITA,EUR,3.85,0.742748914,33915.461,2014-07-01
Japan,JPN,JPY,370,101.53,46530.384,2014-07-01
Lithuania,LTU,EUR,8.95,2.56455,,2014-07-01
Malaysia,MYS,MYR,7.63,3.1675,10387.16,2014-07-01
Mexico,MEX,MXN,42,12.93255,10110.686,2014-07-01
Netherlands,NLD,EUR,3.45,0.742748914,45988.604,2014-07-01
New Zealand,NZL,NZD,5.7,1.152737752,38384.906,2014-07-01
Norway,NOR,NOK,48,6.1873,99249.004,2014-07-01
Pakistan,PAK,PKR,300,98.68,1260.736,2014-07-01
Peru,PER,PEN,10,2.788,6549.636,2014-07-01
Philippines,PHL,PHP,160,43.205,2611.503,2014-07-01
Poland,POL,PLN,9.2,3.0714,12708.962,2014-07-01
Portugal,PRT,EUR,3,0.742748914,20019.902,2014-07-01
Russia,RUS,RUB,89,34.83725,14015.75,2014-07-01
Saudi Arabia,SAU,SAR,11,3.75035,25139.004,2014-07-01
Singapore,SGP,SGD,4.7,1.238,53516.039,2014-07-01
South Africa,ZAF,ZAR,24.5,10.5145,7314.014,2014-07-01
South Korea,KOR,KRW,4100,1023.75,22590.158,2014-07-01
Spain,ESP,EUR,3.65,0.742748914,28294.112,2014-07-01
Sri Lanka,LKA,LKR,350,130.255,,2014-07-01
Sweden,SWE,SEK,40.7,6.836,54829.105,2014-07-01
Switzerland,CHE,CHF,6.16,0.9024,79344.253,2014-07-01
Taiwan,TWN,TWD,79,29.982,20386.475,2014-07-01
Thailand,THA,THB,99,31.78,5390.414,2014-07-01
Turkey,TUR,TRY,9.25,2.09125,10523.36,2014-07-01
UAE,ARE,AED,13,3.67305,,2014-07-01
Ukraine,UKR,UAH,19,11.685,,2014-07-01
United States,USA,USD,4.795,1,51708.982,2014-07-01
Uruguay,URY,UYU,113,22.97,,2014-07-01
Venezuela,VEN,VEF,75,11,,2014-07-01
Vietnam,VNM,VND,60000,21230,,2014-07-01
Argentina,ARG,ARS,28,8.61,14708.613,2015-01-01
Australia,AUS,AUD,5.3,1.227219734,64578.19,2015-01-01
Austria,AUT,EUR,3.39,0.863073404,49038.959,2015-01-01
Belgium,BEL,EUR,3.7,0.863073404,45537.619,2015-01-01
Brazil,BRA,BRL,13.5,2.59275,11172.523,2015-01-01
Britain,GBR,GBP,2.89,0.661594443,39371.653,2015-01-01
Canada,CAN,CAD,5.7,1.22855,52037.148,2015-01-01
Chile,CHL,CLP,2100,627.485,15775.713,2015-01-01
China,CHN,CNY,17.2,6.2115,6958.686,2015-01-01
Colombia,COL,COP,7900,2364.98,8030.715,2015-01-01
Costa Rica,CRI,CRC,2150,536.09,,2015-01-01
Czech Republic,CZE,CZK,70.45,24.13325,18871.009,2015-01-01
Denmark,DNK,DKK,34.5,6.4174,59129.127,2015-01-01
Egypt,EGY,EGP,16.93,7.35005,3242.857,2015-01-01
Estonia,EST,EUR,2.9,0.863073404,18852.091,2015-01-01
Euro area,EUZ,EUR,3.68,0.863073404,38643.6391,2015-01-01
